benchmark,language,mode,exec_time_sec,peak_mem_kb,status,runtime
nbody,Zig,JIT,0.419281757,17120,success,wasmtime 
nbody,Zig,AOT,0.407407871,16064,success,wasmtime 
three-mm,Go,JIT,5.718896783,43540,success,wasmtime 
three-mm,Go,AOT,5.859829001,42228,success,wasmtime 
three-mm,Python,JIT,365.185932805,169768,success,wasmtime 
three-mm,Python,AOT,362.873152792,169640,success,wasmtime 
three-mm,Rust,JIT,57.026701223,42572,success,wasmtime 
three-mm,Rust,AOT,56.705169142,41372,success,wasmtime 
three-mm,C,JIT,3.377614713,41828,success,wasmtime 
three-mm,C,AOT,3.322688644,41012,success,wasmtime 
correlation,Go,JIT,0.266869456,22352,success,wasmtime 
correlation,Go,AOT,0.257286855,21076,success,wasmtime 
correlation,Python,JIT,33.643809758,165472,success,wasmtime 
correlation,Python,AOT,32.977671252,165520,success,wasmtime 
correlation,Rust,JIT,4.935727172,21604,success,wasmtime 
correlation,Rust,AOT,5.167414096,20544,success,wasmtime 
correlation,C,JIT,0.236261084,21032,success,wasmtime 
correlation,C,AOT,0.221467836,20228,success,wasmtime 
correlation,Zig,JIT,0.297638217,21328,success,wasmtime 
correlation,Zig,AOT,0.289538586,20412,success,wasmtime 
